"","X","X30","X50","X60","X90","X160","C..all.","RL","RM","AlleyGrvl","Alleynan","IR1","IR2","Reg","Bnk","HLS","CulDSac","BrDale","BrkSide","Edwards","IDOTRR","MeadowV","NAmes","NoRidge","NridgHt","OldTown","Sawyer","Somerst","StoneBr","Timber","Condition1Artery","Condition1Feedr","Condition1Norm","X1Fam","Duplex","Gable","Hip","CompShg","WdShngl","Exterior2ndCmentBd","Exterior2ndMetalSd","Exterior2ndVinylSd","Exterior2ndWd.Sdng","BrkFace","None","Stone","FuseA","FuseF","SBrkr","Attchd","BuiltIn","Detchd","N","Y","WD","Abnorml","Normal","Partial","LotFrontage","LotArea","OverallQual","YearBuilt","BsmtFinSF1","BsmtUnfSF","TotalBsmtSF","X2ndFlrSF","BsmtFullBath","BedroomAbvGr","KitchenAbvGr","TotRmsAbvGrd","Fireplaces","GarageCars","WoodDeckSF","OpenPorchSF","EnclosedPorch","ScreenPorch","SalePrice","ExterQual","BsmtQual","BsmtCond","BsmtExposure","HeatingQC","KitchenQual","GarageQual","PoolQC","BsmtFinType1","CentralAir","Functional","GarageFinish","Fence"
"1",0,0,0,0.693147180559945,0,0,0,0.693147180559945,0,0,0.693147180559945,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,0.693147180559945,0,0,0,1,0,0.693147180559945,0,0,0,0,0.693147180559945,1,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,65,9.04204005654448,7,2003,6.56103066589657,5.01727983681492,6.75343791859778,6.75110146893676,1,3,0.693147180559945,8,0,2,0,4.12713438504509,0,0,12.2476991163726,1.6094379124341,1.6094379124341,1.38629436111989,2,5,4,1.38629436111989,0,6,0.693147180559945,2.19722457733622,2,0
"2",1,0,0,0,0,0,0,0.693147180559945,0,0,0.693147180559945,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0.693147180559945,0,0.693147180559945,0,0.693147180559945,0,0,0.693147180559945,0,0,0,1,0,0,0,0.693147180559945,1,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,80,9.16962253869762,6,1976,6.88653164253051,5.65248918026865,7.14124512235049,0,0,3,0.693147180559945,6,1,2,5.70044357339069,0,0,0,12.1090164423137,1.38629436111989,1.6094379124341,1.38629436111989,4,5,3,1.38629436111989,0,5,0.693147180559945,2.19722457733622,2,0
"3",2,0,0,0.693147180559945,0,0,0,0.693147180559945,0,0,0.693147180559945,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,0.693147180559945,0,0,0,1,0,0.693147180559945,0,0,0,0,0.693147180559945,1,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,68,9.32821229257107,7,2001,6.18826412308259,6.07534603108868,6.82546003625531,6.76503897678054,1,3,0.693147180559945,6,1,2,0,3.76120011569356,0,0,12.3171711672987,1.6094379124341,1.6094379124341,1.38629436111989,3,5,4,1.38629436111989,0,6,0.693147180559945,2.19722457733622,2,0
"4",3,0,0,0,0,0,0,0.693147180559945,0,0,0.693147180559945,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,0.693147180559945,0,0,0,0,0,0,1,0,0,0,0.693147180559945,0,0,0.693147180559945,0,0.693147180559945,0.693147180559945,0.693147180559945,0,0,60,9.16440114003474,7,1915,5.37989735354046,6.29341927884648,6.62936325343745,6.62936325343745,1,3,0.693147180559945,7,1,3,0,3.58351893845611,5.60947179518496,0,11.8494048444231,1.38629436111989,1.38629436111989,1.6094379124341,2,4,4,1.38629436111989,0,5,0.693147180559945,2.19722457733622,1,0
"5",4,0,0,0.693147180559945,0,0,0,0.693147180559945,0,0,0.693147180559945,1,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,0.693147180559945,0,0,0,1,0,0.693147180559945,0,0,0,0,0.693147180559945,1,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,84,9.56528381773677,8,2000,6.48616078894409,6.19644412779452,7.04403289727469,6.96034772910131,1,4,0.693147180559945,9,1,3,5.26269018890489,4.44265125649032,0,0,12.4292201968364,1.6094379124341,1.6094379124341,1.38629436111989,3,5,4,1.38629436111989,0,6,0.693147180559945,2.19722457733622,2,0
"6",5,0,0.693147180559945,0,0,0,0,0.693147180559945,0,0,0.693147180559945,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,0.693147180559945,0,0,0,1,0,0,1,0,0,0,0.693147180559945,1,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,85,9.55506418479516,5,1993,6.59714570188665,4.17438726989564,6.68085467879022,6.34035930372775,1,1,0.693147180559945,5,0,2,3.71357206670431,3.43398720448515,0,0,11.8706069022246,1.38629436111989,1.6094379124341,1.38629436111989,2,5,3,1.38629436111989,0,6,0.693147180559945,2.19722457733622,1,1.38629436111989
"7",6,0,0,0,0,0,0,0.693147180559945,0,0,0.693147180559945,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,0.693147180559945,0,0,0,1,0,0,0,0.693147180559945,0,0,0.693147180559945,1,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,75,9.21880445038831,8,2004,7.22256601882217,5.76205138278018,7.43070708254597,0,1,3,0.693147180559945,7,1,2,5.54517744447956,4.06044301054642,0,0,12.634606283893,1.6094379124341,1.79175946922805,1.38629436111989,3,5,4,1.38629436111989,0,6,0.693147180559945,2.19722457733622,2,0
"8",7,0,0,0.693147180559945,0,0,0,0.693147180559945,0,0,0.693147180559945,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0.693147180559945,0,0.693147180559945,0,0,0,0,0,0,0,0.693147180559945,0,0,0.693147180559945,1,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,0,9.24792513230345,7,1973,6.75693238924755,5.37989735354046,7.01031186730723,6.89162589705225,1,3,0.693147180559945,7,2,2,5.46383180502561,5.32300997913841,5.43372200355424,0,12.2060776455177,1.38629436111989,1.6094379124341,1.38629436111989,3,5,3,1.38629436111989,0,5,0.693147180559945,2.19722457733622,2,0
"9",8,0,0.693147180559945,0,0,0,0,0,0.693147180559945,0,0.693147180559945,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0.693147180559945,0,0,0.693147180559945,0,0.693147180559945,0,0.693147180559945,0,0,0,0,0,0,1,0,0,0.693147180559945,0,0,0,0.693147180559945,0,0.693147180559945,0.693147180559945,0.693147180559945,0,0,51,8.71948076085107,7,1931,0,6.8596149036542,6.8596149036542,6.62406522779989,0,2,1.09861228866811,8,2,2,4.51085950651685,0,5.32787616878958,0,11.7745279008585,1.38629436111989,1.38629436111989,1.38629436111989,2,4,3,1.09861228866811,0,1,0.693147180559945,2.07944154167984,1,0
"10",9,0,0,0,0,0,0,0.693147180559945,0,0,0.693147180559945,0,0,1,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0.693147180559945,0,0.693147180559945,0,0,0.693147180559945,0,0,0,1,0,0,0,0.693147180559945,1,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,50,8.91206909797013,5,1939,6.74758652682932,4.94875989037817,6.89972310728487,0,1,2,1.09861228866811,5,2,1,0,1.6094379124341,0,0,11.6784483779882,1.38629436111989,1.38629436111989,1.38629436111989,2,5,3,1.6094379124341,0,6,0.693147180559945,2.19722457733622,2,0
